session_id,pose_id,module0_frame,module1_frame,module0_rms_px,module1_rms_px,relative_angle_deg,relative_rvec_x,relative_rvec_y,relative_rvec_z,relative_t_x,relative_t_y,relative_t_z
calib_swapped_005,0,210,70,0.516395,0.561676,179.389194,1.130425,-0.092458,-2.918275,-0.028197,-0.058548,-0.018107
calib_swapped_005,1,180,110,0.656871,0.512172,179.384681,1.035356,0.022183,-2.954622,-0.084244,0.010757,-0.034263
calib_swapped_005,2,150,470,0.702803,1.249681,179.571850,1.001727,-0.053781,-2.969235,-0.105327,-0.022954,-0.039413
calib_swapped_005,3,160,270,0.497420,0.539983,179.274181,-0.975178,-0.016539,2.973033,-0.092190,0.006255,-0.024466
calib_swapped_005,4,50,80,0.382022,0.551604,179.030405,1.095350,-0.028962,-2.926249,-0.063004,-0.015816,-0.022881
calib_swapped_005,5,240,90,0.239010,0.685747,179.006966,1.094328,0.098451,-2.924681,-0.039094,0.052927,-0.049213
calib_swapped_005,6,10,30,0.530088,0.791346,179.193707,1.067684,-0.043227,-2.939314,-0.071883,-0.013112,-0.023723
calib_swapped_005,7,440,20,0.707766,0.844523,179.416696,1.017875,0.160659,-2.957002,-0.093032,0.077829,-0.035912
calib_swapped_005,8,300,240,0.624575,0.566522,179.420147,1.042239,0.010309,-2.952922,-0.080634,0.007305,-0.037447
calib_swapped_005,9,210,430,0.762719,0.773477,178.273858,1.056946,-0.028363,-2.926308,-0.071999,-0.013922,-0.028387
